Year,Winner,Winning_captain
2014,Germany,Philipp Lahm
2014,Netherlands,Robin van Persie
2014,Argentina,Lionel Messi
2014,Brazil,Thiago Silva
2014,Belgium,Vincent Kompany
2014,France,Hugo Lloris
2014,Costa Rica,Bryan Ruiz 
2014,Colombia,Mario Yepes
2014,Portugal,Cristiano Ronaldo 
2014,Draw,Draw
2014,Bosnia and Herzegovina,Emir Spahi? 
2014,Switzerland,Gökhan Inler 
2014,Uruguay,Diego Godín
2014,Greece,Giorgos Karagounis
2014,Spain,Iker Casillas
2014,Mexico,Rafael Márquez 
2014,Algeria,Madjid Bougherra
2014,Nigeria,Joseph Yobo
2014,Ecuador,Antonio Valencia 
2014,Chile,Claudio Bravo
2014,Croatia,Darijo Srna
2014,United States,Clint Dempsey
2014,Italy,Gianluigi Buffon
2014,CÃ´te d'Ivoire,Didier Drogba
2010,Spain,Iker Casillas
2010,Germany,Philipp Lahm 
2010,Netherlands,Giovanni van Bronckhorst
2010,Uruguay,Diego Lugano 
2010,Paraguay,Denis Caniza
2010,Brazil,Lúcio 
2010,Argentina,Javier Mascherano 
2010,Ghana,John Mensah
2010,Draw,Draw
2010,CÃ´te d'Ivoire,Didier Drogba 
2010,Slovakia,Marek Hamšík 
2010,Japan,Yoshikatsu Kawaguchi
2010,England,Steven Gerrard
2010,United States,Carlos Bocanegra 
2010,Australia,Lucas Neill 
2010,South Africa,Aaron Mokoena
2010,Portugal,Cristiano Ronaldo
2010,Chile,Claudio Bravo 
2010,Denmark,Jon Dahl Tomasson
2010,Serbia,Dejan Stankovi? 
2010,Greece,Giorgos Karagounis 
2010,Mexico,Cuauhtémoc Blanco
2010,Switzerland,Alexander Frei
2010,Slovenia,Robert Koren 
2010,Korea Republic,Park Ji-sung
2006,Italy,Fabio Cannavaro
2006,Germany,Michael Ballack
2006,France,Zinedine Zidane
2006,Portugal,Luís Figo
2006,Brazil,Cafu 
2006,Ukraine,Andriy Shevchenko 
2006,England,David Beckham
2006,Argentina,Juan Pablo Sorín 
2006,Spain,Raúl
2006,Switzerland,Johann Vogel
2006,Ghana,Stephen Appiah
2006,Draw,Draw
2006,CÃ´te d'Ivoire,Didier Drogba
2006,Poland,Jacek B?k 
2006,Paraguay,Carlos Gamarra
2006,Netherlands,Edwin van der Sar
2006,Ecuador,Iván Hurtado
2006,Sweden,Olof Mellberg
2006,Korea Republic,Lee Woon-jae
2006,Australia,Mark Viduka
2006,Czech Republic,Tomáš Galásek 
2006,Mexico,Rafael Márquez
2002,Brazil,Cafu
2002,TÃ¼rkiye,Hakan ?ükür
2002,Germany,Oliver Kahn
2002,Korea Republic,Hong Myung-bo 
2002,United States,Claudio Reyna
2002,Senegal,Aliou Cissé
2002,Spain,Fernando Hierro
2002,England,David Beckham
2002,Japan,Tsuneyasu Miyamoto
2002,Belgium,Marc Wilmots
2002,Poland,Tomasz Wa?doch
2002,Draw,Draw
2002,Ecuador,Álex Aguinaga 
2002,Paraguay,José Luis Chilavert
2002,Denmark,Jan Heintze 
2002,Republic of Ireland,Steve Staunton 
2002,Portugal,Fernando Couto 
2002,Mexico,Rafael Márquez
2002,South Africa,Lucas Radebe
2002,Croatia,Davor Šuker
2002,Sweden,Patrik Andersson 
2002,Cameroon,Rigobert Song
2002,Russia,Viktor Onopko 
2002,Costa Rica,Erick Lonnis
2002,Italy,Paolo Maldini
2002,Argentina,Gabriel Batistuta
1998,France,Didier Deschamps
1998,Croatia,Zvonimir Boban
1998,Brazil,Dunga
1998,Netherlands,Frank de Boer 
1998,Argentina,Diego Simeone 
1998,Germany,Jürgen Klinsmann 
1998,Denmark,Michael Laudrup
1998,Italy,Paolo Maldini 
1998,Jamaica,Warren Barrett
1998,Draw,Draw
1998,England,Alan Shearer
1998,FR Yugoslavia,Dragan Stojkovi?
1998,Spain,Andoni Zubizarreta 
1998,Paraguay,José Luis Chilavert
1998,Norway,Frode Grodås
1998,Morocco,Noureddine Naybet
1998,Colombia,Carlos Valderrama
1998,Romania,Gheorghe Hagi 
1998,IR Iran,Ahmad Reza Abedzadeh
1998,Nigeria,Uche Okechukwu
1998,Mexico,Alberto García Aspe
